animal_id,lrid,tag,rfid,nlis,draft,sex,dob,sire,dam,weaned,tag_sorter,esi,overall_adg,current_adg,last_weight,last_weight_date,animal_group,modified
1876,0,9010,9.64001E+14,36US012011009010,,Female,00:00.0,,,0,9010,,-0.1,-1.33,39,49:29.9,AI 2018,52:08.1
1877,0,10007,9.64001E+14,36US012011010007,,Female,00:00.0,,,0,10007,,-0.02,-0.04,122,54:43.6,7th BRD GRP,15:49.8
1878,0,10009,9.64001E+14,36US012011010009,,Female,00:00.0,,WAST03,0,10009,,-0.02,2.25,119,43:33.3,,30:48.2
1879,0,11044,9.64001E+14,36US012010011044,,Female,00:00.0,,,0,11044,,-0.04,0.35,148,36:24.6,,01:10.8
1881,0,11021,9.64001E+14,36US012008011021,,Female,00:00.0,,WAST02,0,11021,,-0.05,-0.01,111,49:33.9,,32:57.2
1882,0,12003,9.64001E+14,36US012011012040,,Female,00:00.0,,,0,12003,,-0.02,-0.09,122,50:54.1,2nd BRD GRP,57:18.5
1883,0,11034,9.64001E+14,36US012010011034,,Female,00:00.0,,,0,11034,,-0.02,-0.43,142,14:19.7,,40:59.1
1884,0,9018,9.64001E+14,36US012010009018,,Female,00:00.0,,,0,9018,,0.02,0,120,00:23.7,,31:45.8
1886,0,12086,9.64001E+14,36US012011012014,,Female,00:00.0,,WAST02,0,12086,,-0.01,-0.01,121,01:43.1,,00:08.3
1888,0,011TUX,9.64001E+14,36US01201111CAPR,,Male,00:00.0,,,0,                              11TUX,,-0.05,-0.12,194,40:06.2,,51:37.6
1893,0,10023,9.64001E+14,36US012011010002,,Female,00:00.0,,WAST02,0,10023,,0,0.29,138,33:41.0,,31:33.8
1894,0,10011,9.64001E+14,36US012010010011,,Female,00:00.0,,,0,10011,,-0.02,-0.05,130,22:29.7,2nd BRD GRP,12:29.3
1897,0,11029,9.64001E+14,36US012012011029,,Female,00:00.0,,9007,0,11029,,-0.02,-0.01,100,34:47.8,14th BRD GRP,36:51.9
1898,0,11019,9.64001E+14,36US012010011019,,Female,00:00.0,,,0,11019,,-0.06,-0.09,153,19:28.4,,23:54.8
1899,0,11008,9.64001E+14,36US012008011008,,Female,00:00.0,,,0,11008,,0.01,-0.26,158,54:52.8,,31:46.0
1900,0,11041,9.64001E+14,36US012011011041,,Female,00:00.0,,,0,11041,,-0.02,-0.12,141,44:18.5,5th BRD GRP,15:15.1
1901,0,10005,9.64001E+14,36US012011010005,,Female,00:00.0,,WAST02,0,10005,,0.01,0.08,139,44:56.2,,35:11.8
1902,0,12091,9.64001E+14,36US012012012091,,Female,00:00.0,,10005,0,12091,,-0.07,0.03,101,07:46.4,,40:55.7
1905,0,12079,9.64001E+14,36US012012012079,,Female,00:00.0,,BRCM02,0,12079,,0,0,123,46:50.5,,03:13.7
1906,0,11012,9.64001E+14,36US012010011012,,Female,00:00.0,,WAST02,0,11012,,-0.03,0.06,130,13:50.2,,43:25.8
1907,0,12111,9.64001E+14,36US012012012111,,Female,00:00.0,,ORST03,0,12111,,0.01,-0.07,146,30:18.8,,50:08.2
1908,0,12038,9.64001E+14,36US012012012038,,Female,00:00.0,,WAST02,0,12038,,0.04,0.22,182,18:14.3,,22:25.5
1909,0,9021,9.64001E+14,36US012010009021,,Female,00:00.0,,,0,9021,,-0.03,0.38,121,33:17.2,AI 2018,00:23.9
1910,0,12044,9.64001E+14,36US012012012044,,Female,00:00.0,,BRCM02,0,12044,,-0.02,0.03,129,38:36.6,,53:56.8
1912,0,12028,9.64001E+14,36US012011012028,,Female,00:00.0,,,0,12028,,-0.01,0.11,132,01:45.6,,58:42.0
1915,0,9009,9.64001E+14,36US012005009009,,Female,00:00.0,,ORST02,0,9009,,-0.01,-0.71,129,30:43.7,,37:51.4
1917,0,11017,9.64001E+14,36US012007011017,,Female,00:00.0,,,0,11017,,-0.17,-0.2,135,48:24.9,,01:58.8
1919,0,9006,9.64001E+14,36US012008009006,,Female,00:00.0,,ORST02,0,9006,,-0.08,-0.29,135,30:32.9,,42:09.6
1922,0,9005DIED,9.64001E+14,36US012009009005,,Female,00:00.0,,9005,0,                            9005DIED,,-0.04,0.03,132,40:15.0,,40:14.7
1923,0,9013,9.64001E+14,36US012010009013,,Female,00:00.0,,,0,9013,,-0.02,0.01,158,59:31.2,,33:14.6
1924,0,9016,9.64001E+14,36US012010009016,,Female,00:00.0,,,0,9016,,-0.18,-0.08,109,31:09.3,,01:42.6
1925,0,11035,9.64001E+14,36US012009011035,,Female,00:00.0,,,0,11035,,-0.16,-0.05,126,46:45.5,,00:04.1
1926,0,11046,9.64001E+14,36US012010011046,,Female,00:00.0,,,0,11046,,-0.02,0.05,135,22:59.4,,41:03.9
1929,0,11050,9.64001E+14,36US012011011050,,Female,00:00.0,,WAST03,0,11050,,-0.01,-0.13,124,18:38.9,,44:22.8
1930,0,12080,9.64001E+14,36US012011012080,,Female,00:00.0,,ORST02,0,12080,,-0.05,-0.19,112,00:42.3,,02:37.5
1931,0,12034,9.64001E+14,36US012012012034,,Female,00:00.0,,WASTO2,0,12034,,-0.04,-0.14,100,33:41.6,,55:56.2
1933,0,12047,9.64001E+14,36US012011012047,,Female,00:00.0,,9023,0,12047,,-0.01,-0.5,137,56:56.0,7th BRD GRP,15:49.8
1934,0,12116,9.64001E+14,36US012011012116,,Female,00:00.0,,9009,0,12116,,0.02,0.29,178,00:46.6,,15:32.3
1939,0,12101,9.64001E+14,36US012012012101,,Female,00:00.0,,9025,0,12101,,-0.02,0.21,135,08:04.8,,15:32.0
1940,0,12019,9.64001E+14,36US012012012019,,Female,00:00.0,,11017,0,12019,,0.03,0.29,162,26:45.7,,15:31.2
1941,0,12032,9.64001E+14,36US012012012032,,Female,00:00.0,,11017,0,12032,,-0.02,-0.08,116,00:51.5,12th BRD GRP,57:18.9
1942,0,12041,9.64001E+14,36US012012012041,,Female,00:00.0,,11017,0,12041,,-0.01,0,125,15:46.4,,40:56.1
1943,0,9028,9.64001E+14,36US012012012020,,Female,00:00.0,,BRCM02,0,9028,,0.01,0.63,172,16:26.9,,46:35.2
